id,rekomendasi
925,Pasta - Canelloni
926,"Stock - Veal, Brown"
927,"Placemat - Scallop, White"
928,"Soup - Beef Conomme, Dry"
929,Vinegar - White
930,French Pastry - Mini Chocolate
931,"Wine - White, Lindemans Bin 95"
932,"Wine - Red, Wolf Blass, Yellow"
933,Cranberries - Fresh
934,"Juice - Cranberry, 341 Ml"
935,Jello - Assorted
936,"Turkey - Breast, Bone - In"
937,Dip - Tapenade
938,Wine - Cotes Du Rhone
939,Pear - Asian
940,Beans - Wax
941,"Jam - Strawberry, 20 Ml Jar"
942,Cornstarch
943,Muffin Batt - Carrot Spice
944,Goat - Whole Cut
945,"Wine - White, Cooking"
946,Tea - Decaf 1 Cup
947,Energy Drink
948,Chicken - Soup Base
949,Wine - Balbach Riverside
950,"Coke - Diet, 355 Ml"
951,Onions - White
952,Wine - Magnotta - Cab Sauv
953,Wine - Duboeuf Beaujolais
954,"Plate - Foam, Bread And Butter"
955,Cod - Black Whole Fillet
956,Chocolate Bar - Oh Henry
957,"Syrup - Monin, Irish Cream"
958,Chips - Miss Vickies
959,Mace
960,"Chocolate - Semi Sweet, Calets"
961,Milk Powder
962,"Beans - Black Bean, Preserved"
963,"Wine - Red, Antinori Santa"
964,Wine - Pinot Grigio Collavini
965,"Rum - Cream, Amarula"
966,Browning Caramel Glace
967,Garlic - Peeled
968,"Pepper - Chipotle, Canned"
969,Wine - Ruffino Chianti
970,Bagelers
971,Straws - Cocktale
972,Avocado
973,"Juice - Grapefruit, 341 Ml"
974,Wanton Wrap
975,Wine - Barbera Alba Doc 2001
976,Mangostein
977,Juice - Orangina
978,Cake Slab
979,"Brandy - Orange, Mc Guiness"
980,Lettuce - Iceberg
981,"Nut - Pecan, Halves"
982,Tea Peppermint
983,Bread - French Stick
984,Onions - Pearl
985,Appetizer - Veg Assortment
986,Long Island Ice Tea
987,"Fish - Halibut, Cold Smoked"
988,Chicken Breast Halal
989,Ham - Cooked Bayonne Tinned
990,"Trout - Rainbow, Frozen"
991,Vegetable - Base
992,"Sauce - Soya, Dark"
993,Tea - Herbal Orange Spice
994,Sprouts - Bean
995,Veal - Striploin
996,"Bread - Dark Rye, Loaf"
997,Puree - Guava
998,French Pastries
999,Salt And Pepper Mix - White
1000,Beer - Blue Light
